jurisdiction,fips_code,board_name
Allegany,24001,Allegany County Public Schools
Anne Arundel,24003,Anne Arundel Co. Public Schools 
Baltimore City,24510,Baltimore City Schools
Baltimore County,24005,Baltimore County Public Schools 
Calvert,24009,Calvert County Public Schools
Caroline,24011,Caroline County Board of Education
Carroll,24013,Carroll County Public Schools
Cecil,24015,Cecil County Public Schools
Charles,24017,Charles County Public Schools
Dorchester,24019,DORCHESTER COUNTY PUBLIC SCHOOLS
Frederick,24021,Frederick County Public Schools
Garrett,24023,"Oakland, Garrett County Public Schools"
Harford,24025,Harford County Public Schools
Howard,24027,Howard  County Public Schools
Kent,24029,Kent County Public Schools
Montgomery,24031,Montgomery County Public School
Prince George's,24033,Prince Georges' County Public Schools
Queen Anne's,24035,Queen Anne's County Public Schools
Saint Mary's,24037,St. Mary's County Public Schools
Somerset,24039,Somerset County Public Schools
Talbot,24041,Talbot County Public Schools
Washington,24043,Washington County Public Schools
Wicomico,24045,Wicomico County Public Schools
Worcester,24047,Worcester County Board of Ed
Howard,24027,Howard County Public Schools
Montgomery,24031,Montgomery County Public Schools
Calvert,24009,CALVERT COUNTY PUBLIC SCHOOLS
Caroline,24011,Caroline County Public Schools
Baltimore City,24510,Balitmore City Public Schools
Dorchester,24019,DORCHESTER COUNTY BOARD OF EDUCATION
